Analytical Group,Year,GDP_Growth
ASEAN-5,1990,8.8
Advanced economies,1990,3.1
Emerging and Developing Asia,1990,5.9
Emerging and Developing Europe,1990,-0.4
Emerging market and developing economies,1990,3.6
Euro area,1990,no data
European Union,1990,2.8
Latin America and the Caribbean,1990,0.9
Major advanced economies (G7),1990,2.8
Middle East and Central Asia,1990,6.8
Other advanced economies,1990,4.4
Sub-Saharan Africa,1990,no data
World,1990,3.2
ASEAN-5,1991,7.5
Advanced economies,1991,1.6
Emerging and Developing Asia,1991,5.9
Emerging and Developing Europe,1991,-5.7
Emerging market and developing economies,1991,3.9
Euro area,1991,no data
European Union,1991,1.6
Latin America and the Caribbean,1991,4
Major advanced economies (G7),1991,1.3
Middle East and Central Asia,1991,6.7
Other advanced economies,1991,3.7
Sub-Saharan Africa,1991,0.1
World,1991,2.4
ASEAN-5,1992,6.7
Advanced economies,1992,2.2
Emerging and Developing Asia,1992,8.8
Emerging and Developing Europe,1992,-8.8
Emerging market and developing economies,1992,2.1
Euro area,1992,1.4
European Union,1992,1.0
Latin America and the Caribbean,1992,3.6
Major advanced economies (G7),1992,2.1
Middle East and Central Asia,1992,4.7
Other advanced economies,1992,3.9
Sub-Saharan Africa,1992,-0.2
World,1992,2.2
ASEAN-5,1993,7.9
Advanced economies,1993,1.3
Emerging and Developing Asia,1993,8.9
Emerging and Developing Europe,1993,-4.6
Emerging market and developing economies,1993,2.9
Euro area,1993,-0.8
European Union,1993,-0.6
Latin America and the Caribbean,1993,4.1
Major advanced economies (G7),1993,1.1
Middle East and Central Asia,1993,0.5
Other advanced economies,1993,4.2
Sub-Saharan Africa,1993,1.5
World,1993,1.9
ASEAN-5,1994,7.7
Advanced economies,1994,3.4
Emerging and Developing Asia,1994,9.2
Emerging and Developing Europe,1994,-8.7
Emerging market and developing economies,1994,2.8
Euro area,1994,2.5
European Union,1994,2.7
Latin America and the Caribbean,1994,4.6
Major advanced economies (G7),1994,3.0
Middle East and Central Asia,1994,1.6
Other advanced economies,1994,6.2
Sub-Saharan Africa,1994,1.9
World,1994,3.2
ASEAN-5,1995,7.9
Advanced economies,1995,2.9
Emerging and Developing Asia,1995,8.8
Emerging and Developing Europe,1995,-0.5
Emerging market and developing economies,1995,3.8
Euro area,1995,2.9
European Union,1995,2.9
Latin America and the Caribbean,1995,1.1
Major advanced economies (G7),1995,2.5
Middle East and Central Asia,1995,1.9
Other advanced economies,1995,5.3
Sub-Saharan Africa,1995,3.9
World,1995,3.3
ASEAN-5,1996,7.3
Advanced economies,1996,3.0
Emerging and Developing Asia,1996,8.4
Emerging and Developing Europe,1996,0.4
Emerging market and developing economies,1996,5.0
Euro area,1996,1.7
European Union,1996,2.1
Latin America and the Caribbean,1996,3.7
Major advanced economies (G7),1996,2.8
Middle East and Central Asia,1996,4.7
Other advanced economies,1996,4.8
Sub-Saharan Africa,1996,4.8
World,1996,3.9
ASEAN-5,1997,3.7
Advanced economies,1997,3.5
Emerging and Developing Asia,1997,6.0
Emerging and Developing Europe,1997,2.5
Emerging market and developing economies,1997,4.7
Euro area,1997,2.7
European Union,1997,2.7
Latin America and the Caribbean,1997,5.6
Major advanced economies (G7),1997,3.2
Middle East and Central Asia,1997,3.3
Other advanced economies,1997,4.6
